vs0,vs1,vs2,vs3,vs4,vs5,vs6,vs7,vs8,vs9,vs10,vs11,vs12,vs13,vs14,vs15,vs16,vs17,vs18,vs19,vs20,vs21,vs22,vs23,vs24,vs25,vs26,vs27,vs28,vs29,vs30,vs31,vs32,vs33,vs34,vs35,vs36,vs37,vs38,vs39,vs40,vs41,vs42,vs43,vs44,vs45,vs46,vs47,vs48,vs49,vs50,vs51,vs52,vs53,vs54,vs55,vs56,vs57,vs58,vs59,vs60,vs61,vs62,vs63,vs64,vs65,vs66,vs67,vs68,vs69,vs70,vs71,vs72,vs73,vs74,vs75,vs76,vs77,vs78,vs79,vs80,vs81,vs82,vs83,vs84,vs85,vs86,vs87,vs88,vs89,vs90,vs91,vs92,vs93,vs94,vs95,vs96,vs97,vs98,vs99,vs100,vs101,vs102,vs103,vs104,vs105,vs106,vs107,vs108,vs109,vs110,vs111,vs112,vs113,vs114,vs115,vs116,vs117,vs118,vs119,vs120,vs121,vs122,vs123,vs124,vs125,vs126,vs127,mol_index,atomic_number,coordx,coordy,coordz,ldalabel,gnumarker,gnucolor,layer,atomizationE,fg_key 
0.72268784,-0.104303285,-0.08667125,0.30396685,-0.4922222,-1.3821107,0.24601778,-0.2754832,-1.039999,1.1363086,-0.37119332,0.66839826,0.01681858,-0.29720148,-0.50099635,0.23171242,-1.2041918,0.5042097,-0.0043103215,0.9390959,-0.5067234,1.1598129,-0.69153374,0.3029631,-0.70003855,-0.18023385,-0.05454487,-0.661733,-0.17761755,-0.0132486615,0.4145241,0.8578189,0.826216,-0.45862797,-0.5578273,0.3786002,-0.6246364,0.4609754,0.0033091623,-0.58853084,0.31155267,-0.3258526,0.5123987,-0.88990736,0.013165144,0.7492133,-0.043686733,-0.2847514,-0.40239623,0.41371807,-0.017265962,-0.30676588,0.2358951,-1.3345163,-0.34204096,0.65910745,0.2731494,0.40858528,0.2122612,0.52489924,-0.48737702,0.7024264,-0.7174276,-0.72384155,-0.059251577,0.5006507,-0.35219005,-0.4757112,-0.4686941,0.19008787,0.26594386,0.92655957,0.010133015,0.40557805,0.22761674,-0.88529783,0.08330171,-0.94085205,0.22205314,0.19569845,0.82477385,-0.35158274,-0.6432515,-1.0567452,-0.49011496,-0.8366374,-0.83755445,0.47392926,0.58464485,-0.14103442,-0.3229407,-0.5845121,-0.08758243,1.0368756,0.47392312,0.49919766,0.22135383,0.19709161,-0.52791876,-0.17676662,0.29805958,1.0842128,0.4052412,0.745601,-0.30512902,-0.2525053,0.30174518,0.23020077,0.5067109,0.5364295,0.22924112,0.57267153,-0.42766446,0.58814126,-0.18133935,0.15086524,0.9995768,0.73302364,-0.35937998,-0.34297413,-0.41848138,0.18209393,-0.5143533,-0.89715236,0.28444782,-0.16520056,1.0927159,-5.427003e-05,0,8,-0.99695534,2.0000138,-1.1902825,8,5,6266528,5,-2047.2892,OH-C-CO
0.7684787,-0.24921103,-0.059398033,0.51334184,-0.32521906,-1.625192,0.30488184,-0.5528884,-1.4047533,1.4452897,-0.54028255,0.59121984,-0.4802776,-0.5667913,-0.7079054,-0.22101851,-0.87271523,0.58681685,-0.23787332,1.0269132,-0.38858342,1.151634,-0.41405737,0.2683126,-0.38712516,-0.22601295,-0.20409015,-0.43261158,0.122955784,-0.092661284,0.33334646,0.8184387,0.6845416,-0.33287933,-0.51255596,0.3543345,-0.50451696,0.38556832,0.073593736,-0.6336917,0.23071572,-0.70148754,0.38799086,-0.8020131,-0.11348228,0.40512544,-0.14516751,-0.08164666,-0.36534902,0.39752012,0.026501022,-0.09466982,-0.02909457,-1.1857456,-0.27853602,0.47459042,0.62912625,0.16492797,-0.28181174,0.5541815,-0.46541482,0.24639426,-0.63882565,-0.7035098,0.0048833196,0.5412643,-0.3040245,-0.4231264,-0.44749257,-0.1892668,0.526793,0.89445156,0.21566613,0.35410714,0.08520966,-0.7215939,-0.050835554,-1.2081176,0.38463742,-0.2214509,0.7725876,-0.5629989,-0.5375932,-1.1257173,-0.34443504,-0.8150905,-0.57770056,0.54757965,0.43053713,0.07072431,-0.41526273,-0.6109708,-0.2179763,1.0712494,0.5197743,0.3416533,0.072295554,0.19017126,-0.92133266,-0.13091967,0.116339654,1.1450348,0.16967493,0.5255282,-0.5195233,-0.20977813,0.24457194,0.5334187,0.7051828,0.14719723,0.4869104,0.7515233,-0.72990274,0.3292417,-0.0358682,0.1207509,0.63369805,0.6322742,-0.0738067,-0.61963254,-0.38787672,0.22685692,-0.75315017,-1.0793128,0.713795,-0.13800155,0.90939593,-0.16044398,1,8,-0.535398,1.7560713,-1.5062255,8,5,6266528,5,-2047.2936,OH-C-CO
0.61182547,-0.27446643,0.027083408,0.38546506,-0.4989572,-1.3705148,0.28567123,-0.10737977,-0.95558167,1.1730068,-0.25221267,0.64546984,-0.107329175,-0.34823942,-0.38762382,0.19181888,-1.2964085,0.5598528,-0.017315613,0.9638598,-0.65374225,1.2351234,-0.58142036,0.32397476,-0.7076925,-0.21126793,-0.13251542,-0.59642726,-0.08763681,-0.054997526,0.37607116,0.8868129,0.73030347,-0.43445405,-0.55798304,0.38911054,-0.59640026,0.46613622,-0.06432496,-0.57847065,0.26846114,-0.27859798,0.31234407,-0.8101888,0.10950099,0.65785646,0.11984223,-0.36209974,-0.36866146,0.59039193,-0.10665548,-0.3568993,0.12589921,-1.2587813,-0.29805344,0.7154827,0.34045634,0.43486407,0.18172832,0.54927045,-0.54507697,0.51727754,-0.75641495,-0.7026169,-0.14710212,0.45201644,-0.36422783,-0.48736387,-0.5469667,0.10474002,0.13318607,0.8673578,0.06423166,0.35896102,0.07392175,-0.724696,0.08192167,-0.9377117,0.12747888,0.16627227,0.79704386,-0.54949224,-0.58308464,-1.0697556,-0.33599526,-0.88075167,-0.7938158,0.4573324,0.46262586,-0.2002746,-0.32794043,-0.41028348,0.039892368,1.0346401,0.46175864,0.50747675,0.10809928,0.244022,-0.6339185,-0.050237924,0.22345483,1.1681519,0.3339818,0.62670285,-0.32552618,-0.29878405,0.38546014,0.3222018,0.51943254,0.53813887,0.20765743,0.468106,-0.43954825,0.5130461,-0.23875687,0.19100007,1.0384458,0.63022727,-0.27501193,-0.28204256,-0.50541407,0.15528563,-0.5136903,-0.9936147,0.41234455,-0.09193552,1.1074121,-0.10889092,2,8,-0.76698077,2.3610222,-1.632864,8,5,6266528,5,-2047.3417,OH-C-CO
0.70379966,-0.2822259,-0.13347787,0.3908195,-0.5786332,-1.4066291,0.29326332,-0.32436693,-1.2060201,1.2369335,-0.45996657,0.7817712,-0.023099799,-0.34446856,-0.480478,0.31273434,-1.2235434,0.3601958,-0.1534342,1.1448503,-0.4958504,1.0732318,-0.7531551,0.27014843,-0.8493116,-0.18454596,-0.12605657,-0.57218885,-0.18943024,-0.1342982,0.3396118,0.85212183,0.75535923,-0.50092304,-0.67542666,0.35794106,-0.6162096,0.41299236,-0.060131423,-0.6324027,0.29839617,-0.43215948,0.45079744,-0.9292868,-0.06462588,0.6150153,0.0058083213,-0.30203718,-0.40475664,0.5938239,-0.02095462,-0.19569212,0.12872925,-1.3306267,-0.477073,0.60805815,0.37647122,0.32587248,0.37663364,0.6023697,-0.4769235,0.7433247,-0.78275675,-0.6665863,0.011625068,0.47310066,-0.35337347,-0.45537755,-0.45380488,0.2888053,0.2838121,0.98970705,0.07398773,0.43725553,0.23188515,-0.8066481,-0.13775612,-0.96414775,0.17131768,0.113569595,0.9307436,-0.5097445,-0.7501686,-1.2784548,-0.4220267,-0.7942835,-0.9285201,0.5244373,0.6490156,-0.18884943,-0.39517537,-0.5347376,-0.11244891,1.1895914,0.45724508,0.5574311,0.09953628,0.2993451,-0.51685023,-0.1514756,0.31963485,1.2468593,0.15650754,0.64501184,-0.291979,-0.1772771,0.39354122,0.23149066,0.4825156,0.5835497,0.2867443,0.6690357,-0.46490714,0.43712342,-0.32928726,0.2830234,1.2063677,0.73880196,-0.34789518,-0.26586366,-0.47453704,0.2334656,-0.584327,-0.95011836,0.33640912,-0.21696033,1.1543053,0.1533792,3,8,-1.6057531,2.328554,-1.8291489,8,5,6266528,5,-2047.3091,OH-C-CO
0.6967981,-0.30382454,-0.07565209,0.3059732,-0.5838444,-1.4316775,0.107063726,-0.2091671,-1.0874535,1.224986,-0.48785222,0.8390129,0.081893854,-0.33097473,-0.5839098,0.24207388,-1.293917,0.45139158,-0.12033743,1.0318813,-0.6527213,1.252491,-0.7868814,0.2003211,-0.8832186,-0.20738818,-0.20488271,-0.5652744,-0.03978529,-0.11024126,0.43990126,0.78028166,0.77095646,-0.4163356,-0.55923903,0.45653337,-0.6254697,0.5466588,0.07431317,-0.5307074,0.48758912,-0.3199592,0.43371695,-0.93163466,0.025424682,0.6443653,-0.0024190769,-0.3082459,-0.3767171,0.39302072,-0.0056480677,-0.39704722,0.18492857,-1.3338399,-0.38873583,0.7364479,0.23465303,0.40138787,0.20925803,0.6376162,-0.58979166,0.82088214,-0.6402919,-0.69603485,-0.04891238,0.56864434,-0.31522667,-0.4981461,-0.5350909,0.31878716,0.21562415,0.93196607,-0.15660244,0.48104316,0.18758973,-0.58098835,0.015550398,-1.2197013,0.12673675,0.18212362,0.9523881,-0.27183515,-0.72454756,-1.048767,-0.42600504,-0.7788081,-0.8942647,0.63244236,0.665644,-0.1227361,-0.2817037,-0.40623865,-0.044987883,1.1857307,0.39674446,0.6281561,0.003559969,0.13810714,-0.53473103,-0.21836893,0.3859105,1.0252638,0.25440004,0.752449,-0.31715456,-0.33965656,0.32304192,0.20649229,0.5404883,0.62827694,0.25976595,0.5787471,-0.4214726,0.4184708,-0.35390908,0.26247928,1.1161014,0.861372,-0.384723,-0.23675394,-0.60181814,0.23787546,-0.41051486,-0.9478443,0.24632657,-0.12789948,1.2239947,0.056219757,4,8,-1.0146668,-0.27621272,-3.4391367,8,5,6266528,5,-2047.3481,OH-C-CO
0.73062426,-0.104514025,-0.102633685,0.39581344,-0.601018,-1.488186,0.30059877,-0.19427046,-0.83897126,1.1092216,-0.38521394,0.66039985,-0.052815907,-0.30636996,-0.37595865,0.12645435,-1.314119,0.56537855,-0.004792648,1.0467597,-0.6379135,1.3250935,-0.6831866,0.30344722,-0.8268889,-0.21654746,0.008057762,-0.70053214,-0.08138256,0.11901995,0.4278461,0.93084186,0.93765527,-0.349697,-0.48411313,0.51753837,-0.6636467,0.48086745,-0.12899292,-0.46466514,0.23530045,-0.27221295,0.39257067,-0.9123402,-0.09995051,0.8851647,0.22521931,-0.27940634,-0.500565,0.6698762,0.023940139,-0.41877115,0.23235047,-1.2962744,-0.4186548,0.6833364,0.31973627,0.381663,0.23620182,0.49174854,-0.5916927,0.72641844,-0.8139613,-0.64634746,-0.2725502,0.48294505,-0.42687193,-0.37747064,-0.6211245,0.20684318,0.055314798,1.0305264,0.019841935,0.3168973,0.1502523,-0.79990053,-0.032244537,-0.8821423,0.26834062,0.22248723,0.855871,-0.632914,-0.502252,-1.1334763,-0.42005318,-0.7423391,-0.96113515,0.5204235,0.62768203,-0.028193207,-0.4601633,-0.5794243,-0.061875604,1.031686,0.4326893,0.48553213,0.12526548,0.15112683,-0.5440734,-0.09261268,0.24854182,1.1432447,0.18310882,0.7049302,-0.27749693,-0.19431762,0.3329647,0.32614812,0.51164585,0.55712605,0.15223175,0.58597726,-0.45800778,0.6197866,-0.26553985,0.27082747,1.1057427,0.81481534,-0.26410323,-0.2754851,-0.43087864,0.25920573,-0.6706943,-0.9239405,0.3431908,-0.19038102,1.1257766,-0.0033954782,5,8,2.2295694,-1.5017477,-1.4167057,8,5,6266528,5,-2047.4102,OH-C-CO
0.73548955,-0.25715458,-0.056991976,0.3504039,-0.5681694,-1.4913528,0.08233871,-0.25195256,-1.1345564,1.2625763,-0.52029496,0.81690997,0.13711531,-0.30172116,-0.65924317,0.25674897,-1.3044767,0.5544986,-0.10527985,1.018598,-0.6520499,1.2662776,-0.7976685,0.32611334,-0.8478676,-0.21784167,-0.22827475,-0.6082031,-0.03444667,-0.12878898,0.41342452,0.91830724,0.78291047,-0.47600785,-0.5731199,0.47688696,-0.69628584,0.53825945,0.034410264,-0.5610067,0.4437015,-0.30499437,0.50362563,-0.9521972,0.097286075,0.7203535,-0.08806921,-0.2752694,-0.37975594,0.46391714,-0.014750015,-0.3784447,0.110800795,-1.3926882,-0.4227044,0.7256813,0.22254796,0.46025708,0.19152194,0.5799077,-0.57323545,0.8626244,-0.7023289,-0.6937072,0.004943376,0.52319866,-0.40345803,-0.42566797,-0.5572388,0.30227426,0.20523986,0.99793637,-0.08548557,0.49311206,0.18929733,-0.7073802,0.018661726,-1.2533697,0.17237462,0.21572231,0.94096065,-0.26614583,-0.77320975,-1.0453624,-0.4982638,-0.8661569,-0.93398356,0.57193923,0.6044317,-0.15304132,-0.3501021,-0.41103223,0.025041454,1.1495916,0.41415164,0.6021176,0.037894584,0.07882429,-0.600246,-0.255316,0.37283975,1.0154972,0.32791185,0.77225465,-0.3479902,-0.2780313,0.34815496,0.17375721,0.51819104,0.5562131,0.19749835,0.5714945,-0.47291103,0.44266295,-0.32012543,0.21975245,1.0575618,0.82939667,-0.37827894,-0.25233284,-0.6154947,0.19080861,-0.41061702,-1.000421,0.2674854,-0.15658942,1.1393384,0.0645745,6,8,1.4524202,1.2568926,-3.0276482,8,5,6266528,5,-2047.3466,OH-C-CO
-0.07487099,-0.38411775,-0.27855122,0.01584455,0.1573412,-0.18858707,-0.2094632,-0.22297464,-0.46386248,0.33842865,-0.324338,0.24701695,0.10112241,-0.11868855,-0.14360604,-0.008032482,-0.039013475,0.16643055,0.07607081,0.24555051,-0.47651094,0.106767386,-0.1797419,0.35363233,-0.22293697,-0.50584775,0.07793108,-0.22968757,-0.5755149,0.008605835,-0.022964433,-0.123286575,-0.14033082,-0.3259688,-0.35262123,0.22964343,-0.07140395,0.019472655,0.03275145,-0.32657328,0.38479707,-0.17048271,0.38239017,-0.031197777,0.34310046,-0.070041515,-0.03393133,-0.2329612,0.18413335,0.028741745,-0.105811276,0.084002584,0.2173486,-0.23682192,-0.16908285,0.26286283,0.009870115,0.2039006,0.24250959,0.1259785,-0.04804768,0.070411496,-0.4939969,-0.62272656,0.17030935,0.060031507,0.045133736,-0.0381961,0.16334325,0.3534518,-0.04757218,0.19077788,0.03333314,0.30150107,-0.24233657,-0.19302696,-0.031248381,0.098910496,-0.43790826,0.13767971,0.35708243,-0.015666518,-0.21187395,-0.015114083,-0.35575,-0.15119423,-0.26269343,0.09448304,-0.071370795,-0.22958818,-0.07102333,-0.14236335,-0.25215185,0.2519986,-0.13852005,-0.2481485,0.08436299,0.5681197,0.19002634,0.20313129,0.11466504,0.37845826,0.3406211,0.35898644,0.028732441,0.27618852,0.0875397,-0.0859243,0.21299312,0.19984312,-0.012361384,0.21806507,0.22204968,0.017102368,-0.09833219,0.05828762,0.23855779,0.24261768,-0.42761612,-0.27105963,-0.007577487,-0.13872069,0.11650234,-0.1018605,-0.22004554,0.16004373,0.5733507,-0.0067679873,7,8,-0.5155959,0.5992953,-1.0644408,7,2,11393254,5,-2047.1018,OH-C-CC
0.17060956,-0.45593044,-0.19942205,0.032311678,0.11084383,-0.12610601,-0.21496098,-0.34471706,-0.5827796,0.31166926,-0.36136034,0.23041949,0.06543003,-0.4096922,-0.036631167,0.044538204,-0.1566643,0.16368939,0.090427205,0.4930431,-0.46052715,0.107437566,-0.2006046,0.35500267,-0.09117588,-0.4093277,0.13666181,-0.22185478,-0.4780938,-0.07475267,-0.016072731,0.017735053,-0.20415922,-0.34936926,-0.50899345,0.19975846,-0.091332376,0.061576903,-0.055239655,-0.5237506,0.25550973,-0.19831793,0.3192771,-0.14264292,0.24484855,-0.26231486,-0.012905075,-0.21302998,0.0342211,-0.00568167,-0.09160646,0.10125755,0.16514358,-0.27978864,-0.14299381,0.26674107,-0.056024354,0.14337069,0.21132009,0.21209888,0.001469275,0.18527229,-0.3798425,-0.541854,0.05174805,0.004598031,0.016351461,0.008171926,0.1375729,0.3474579,0.18121451,0.39180222,0.08414767,0.3990528,-0.042864334,-0.29083043,-0.1360013,0.1537051,-0.32252663,0.19850537,0.33812523,-0.19818488,-0.25134876,-0.1346066,-0.2639653,-0.23710465,-0.32086888,0.09039163,-0.1105307,-0.2500387,-0.10328562,-0.090343595,-0.17324871,0.44792628,-0.03758238,-0.15941182,0.16939215,0.5203551,0.1029952,0.22843948,0.06610993,0.6528214,0.26053363,0.24476138,0.050253566,0.24063192,0.051704362,-0.0525236,0.15920615,0.2171445,0.21917623,0.1954303,0.0679886,0.057983726,-0.21705505,0.16303125,0.29870576,0.2545956,-0.5412027,-0.32734427,-0.03472188,-0.03619592,0.15709145,-0.08456251,-0.044465195,0.15842293,0.59919643,0.15434211,8,8,1.4940993,-0.74903136,-0.49820808,7,2,11393254,5,-2047.1384,OH-C-CC
0.62415564,-0.32334086,-0.02909366,-0.21280773,-0.4313686,-0.15700622,-0.033541556,-0.3377471,-0.612303,0.44150668,-0.1038614,0.5033203,0.24833496,0.06609831,0.23662812,0.6849344,-0.5840914,0.054876268,0.09119149,0.5676114,-0.30925816,0.64859504,-0.41224325,0.42283723,-0.49664447,-0.23923142,-0.10695859,-0.43130782,-0.4788727,0.22469167,-0.11133395,0.26896903,0.22708829,-0.36001602,-0.23553908,0.29505283,-0.45978072,0.2869085,0.065268084,-0.4739445,0.10385401,-0.034977913,0.4489301,-0.3599667,-0.08407908,0.21022047,-0.0008020438,-0.057056308,0.015943352,-0.13954605,-0.09759099,0.32550806,0.004588128,-0.38251206,0.15556031,0.51387846,0.16143079,0.6434434,0.5102629,0.23576371,-0.0458007,0.29469216,-0.17795652,-0.23988487,0.23269415,0.46815082,-0.28289968,0.015561219,-0.4132044,0.44803694,0.1551055,0.5764992,-0.13760146,0.77454925,0.29787326,-0.63930655,0.060157426,0.03692224,0.026412433,0.25728384,0.42075235,0.23539953,-0.57684046,-0.6428836,-0.5114279,-0.6860676,-0.5603742,-0.18787126,0.45715234,0.0854864,-0.09399355,-0.08075944,0.43206328,0.4268981,0.4935474,0.58965975,0.20490268,-0.05429311,0.45905858,-0.07931284,0.6484099,1.1147437,0.5792768,0.5520078,-0.10137532,0.17907369,0.15871656,0.061631296,0.32801148,0.35260102,0.08844309,0.17151304,0.013435673,0.54040235,-0.22969301,0.2817504,0.5626128,-0.010842982,-0.3796735,-0.09215506,-0.06714285,-0.12375102,-0.38894123,-0.7141304,0.13126852,0.15250824,0.49385476,0.25777942,9,8,2.252702,-0.06067251,0.056182977,7,2,11393254,5,-2047.4088,OH-C-CC
