Target,
1,
2,
3,
1,
4,
1,
1,
4,
1,
1,
1,
2,
1,
1,
1,
4,
4,
1,
1,
2,
1,
1,
1,
1,
4,
4,
4,
1,
1,
1,
2,
3,
3,
1,
4,
4,
3,
1,
1,
1,
3,
1,
1,
4,
3,
1,
1,
1,
2,
2,
4,
4,
1,
1,
1,
1,
2,
1,
2,
1,
1,
1,
1,
1,
1,
1,
1,
1,
1,
4,
4,
4,
4,
4,
4,
2,
1,
1,
1,
1,
4,
1,
1,
1,
2,
1,
1,
1,
4,
4,
1,
1,
1,
3,
3,
1,
1,
1,
1,
3,
1,
1,
1,
1,
1,
4,
4,aldehyde straight
2,
2,
4,amide! Straight chained
1,
1,
1,
1,
1,
4,ether straight chained
1,
1,
4,nitrogen ether straight chained
4,ether straight chained
4,ether straight chained
3,
3,
1,
1,
1,
4,ether straight chained
3,
1,
1,
1,
1,
4,ether straight chained
3,
1,
1,
1,
1,
4,ether N ringed!!!!
4,ether O ring
4,
4,aldehyde
4,aldehyde 
4,amide! Ringed
1,
1,
1,
4,ether O ring meh 
3,
3,
3,-OH-chain
1,
4,ether O ring
4,ether O ring
1,
1,
4,ether O ring
1,
1,
1,
2,
2,
2,
2,
2,azine
4,ehter O ring
4,ether N ring border
4,ether N ring border
4,ETHER n ring border
4,etheR n RING BORDER
4,ether N ringed border
4,ether N ringed
1,
1,
1,
3,HON
3,HON
3,HON
2,
2,
4,ether ringed!!
1,
1,
1,
1,
2,
2,
2,
2,
3,
3,OH -ring
3,OH -ring
1,CH -ring
1,CH
1,CH
1,CH
2,NH
